,Index,name,ratings,no_of_ratings,discount_price,actual_price,category
25547,1894,"v-guard prime 1150 digital inverter ups,white",4.2,1073,6399,9590,appliances all appliances ups
25548,8068,"bassoholic 9 inches (22cm) car radio receiver advanced android system with 2gb/16gb ram & rom, ips capacitive touch panel ...",4.0,1073,6999,15990,tv audio  cameras all electronics system
25549,104,"captain zack tazsoothe dog itch relief spray 50 ml | skin relief from flea allergy, rashes & other itch conditions | relie...",3.9,1073,255,299,pet supplies all pet supplies spray
25553,1826,dhruvi trendz soft cotton & silk saree for women banarasi saree under 399 2023 beautiful for women sarees,3.8,1073,259,1999,women's clothing clothing banarasi
25555,2474,shining diva fashion 18k stylish fancy traditional gold plated drop earrings for women - golden (9850er),4.1,1073,213,1999,accessories fashion & silver jewellery earrings
25558,157,"rianz rectangular shape stainless steel adhesive hooks wall hooks cloth hooks - load capacity upto 1.5 kg (set of 12, smal...",3.6,1073,196,595,home  kitchen home storage rianz
25561,307,fastrack beach analog black dial women's watch-nl9827pp02/np9827pp02,4.3,1073,2439,2450,accessories watches np9827pp02
25562,1907,"ampereus 6 inch chimney exhaust pipe with free cowl cover (flexible aluminium duct pipe upto 10 feet) , silver",3.6,1072,849,1990,appliances all appliances silver
25563,3825,(renewed) boat rockerz 550 bluetooth over-ear wireless headphone with ergonomic aesthetics plush padded earcups immersive ...,3.8,1072,1499,4999,tv audio  cameras all electronics rockerz
25566,1462,"digitek® (dcb 001) waterproof camera bag, lightweight dslr backpack, lens accessories carry case for all dslr cameras-made...",3.7,1072,1299,2048,stores amazon fashion carry
25567,1946,colo women and girls fashionable wedges,3.9,1072,429,999,stores amazon fashion wedges
25571,6997,tissu women's viscose regular kurta,4.1,1072,735,1599,women's clothing clothing kurta
25581,1377,"samsung 223 l 3 star inverter direct-cool single door refrigerator (rr24c2z23cr/nl, camellia purple, base stand with drawer)",4.2,1071,18190,24999,appliances all appliances samsung
25582,9191,"fonemax [apple mfi certified] lightning to 3.5mm headphones dongle jack adapter for iphone,2 in 1 charger and aux audio sp...",3.6,1071,498,1499,tv audio  cameras all electronics certified
25583,658,f gear military neutron 50 ltrs rucksack (marpat wl digital camo),4.4,1071,1080,3999,stores amazon fashion neutron
25586,4282,"trawoc 70l travel backpack for hiking trekking bag camping rucksack with rain cover / shoe compartment hk008, 1 year warranty",4.3,1071,2092,4999,accessories bags & luggage backpack
25587,333,"digitek® (dcb 001) waterproof camera bag, lightweight dslr backpack, lens accessories carry case for all dslr cameras-made...",3.7,1071,1299,2048,tv audio  cameras camera accessories carry
25591,10491,sona women's cotton non-padded wire free minimizer bra,4.1,1071,406,419,women's clothing clothing bra
25594,275,"dr foot natural foot sanitizer & shoe deodorant spray with essential oils & enzymes to kill foot odor, shoe odor eliminato...",4.0,1071,179,250,beauty  health health & personal care spray
25599,617,baby jogger parent console - universal,4.5,1071,10958,13999,toys  baby products strollers & prams universal
25600,2467,tap for kent and all kind of r.o./u.v./u.f. purifier,4.2,1070,179,199,appliances all appliances tap
25602,42,"whiskas tasty mix adult (1+ year) wet cat food made with real fish, chicken with tuna and carrot in gravy, 70g",4.4,1070,840,1200,pet supplies all pet supplies wet
25603,208,double r bags big eco reusable yoga print jute cloth carry lunch tiffin bag with zip reinforced handle for men women (pack...,4.3,1070,275,1899,accessories bags & luggage carry
25605,1063,woodland men's black leather casual shoes-(g 4035y15),4.1,1070,2546,3395,men's shoes casual shoes casual
25607,13299,indigo women's palazzo bottom,3.9,1070,349,999,women's clothing ethnic wear bottom
25610,1927,vogue hair accessories solid shimmer fabric knot plastic hairband for women shimmer brown & grey,4.0,1070,379,999,accessories fashion & silver jewellery accessories
25617,466,men's  slim fit formal shirt,3.7,1070,449,1199,men's clothing shirts shirt
25619,301,"eureka forbes car vac 100 watts powerful suction vacuum cleaner with washable hepa filter, 3 accessories,compact,light wei...",4.0,1069,1999,2499,appliances all appliances cleaner
25620,2671,"paraspapermart a4 ruled white project sheets (100 sheets, both side ruled)",4.2,1069,218,300,tv audio  cameras all electronics sheets
25621,3748,"ptron newly launched bassbuds nyx in-ear wireless headphone, immersive audio, bt5.1, stereo calls, 50ms movie mode, touch ...",3.7,1069,1299,3999,tv audio  cameras all electronics launched
25623,1296,drunken slipper for men's and women's flip flops massage fashion slides open toe non slip,3.9,1069,469,839,stores amazon fashion slides
25626,286,"tang mango drinks powder, 2.5kg",4.1,1069,1890,2699,"grocery  gourmet foods coffee, tea & beverages drinks"
25634,6978,sapper men's cotton regular fit cargo pants,3.8,1069,1399,1699,stores men fashion pants
25638,2083,acnos analogue multicolour dial women's watch - pack of 4,3.6,1069,425,1999,accessories watches pack
25639,2257,mgs faucet water tap adapter/connector for fully automatic washing machine inlet hose pipe -blue,4.1,1068,175,249,appliances all appliances inlet
25640,8049,addyz fully automatic water purifier with silver impregnated carbon advanced multi stage ro+uv+uf 12 litres storage,4.0,1068,4899,5999,appliances all appliances storage
25641,33,"tata sampann chaat masala with natural oils, crafted by chef sanjeev kapoor, 100g",4.4,1068,72,80,grocery  gourmet foods all grocery & gourmet foods masala
25642,813,"hennahub amla, reetha, shikakai, bhringraj and hibiscus powder for hair growth & hair mask, 200g each (combo pack of 5)",4.3,1068,587,1995,beauty  health beauty & grooming amla
25644,2810,haniya women's chikankari embroidered cotton kurti,3.7,1068,449,999,women's clothing clothing kurti
25650,1159,youbella artificial jewellery designer crystal bracelets for women stylish bangles jewellery for girls and women,3.6,1068,271,2499,accessories fashion & silver jewellery youbella
25655,741,ant mag grappling hook stainless steel claw carabiner for fishing & retrieval with 20m/65ft 8mm auxiliary rope for outdoor...,4.6,1068,11928,17039,bags  luggage rucksacks carabiner
25659,4254,"microtek em 4170 + (899-150-4170) automatic voltage stabilizer for ac up to 1.5 ton (170v-270v), metallic grey –wall mounted.",4.0,1067,1740,2940,appliances all appliances mounted
25660,4984,"demokrazy new nova lint cum fuzz remover for all woolens sweaters, blankets, jackets remover pill remover from carpets, cu...",4.1,1067,425,999,appliances all appliances remover
25661,5656,amd ryzen 3 3200g with radeonvega 8 graphics desktop processor 4 cores up to 4ghz 6mb cache socket am4 (yd320gc5fhbox),4.6,1067,6999,13500,tv audio  cameras all electronics cores
25662,5659,cadyce usb to serial (rs-232) converter (supports for mac o/s),4.3,1067,830,1100,tv audio  cameras all electronics cadyce
25663,5255,kd cotton/khadi kurta for women straight cut readymad kurti casual office formal work wear round nack regular fit for girls,3.7,1067,479,1599,women's clothing clothing cut
25664,8022,om sai latest creation slubrayon short sleeve sleeve printed anarkli kurti for women,3.5,1067,249,1999,women's clothing clothing om
25667,3975,shining diva fashion gold plated stylish pearl jhumka jhumki traditional earrings for women and girls (golden)(8460er),3.8,1067,299,2999,accessories fashion & silver jewellery plated
25669,943,emocoes inteligentes,4.8,1067,1620,2025,stores men fashion inteligentes
25674,1200,angelus 2-soft fabric medium 1oz,4.7,1067,749,849,home  kitchen sewing & craft supplies angelus
25678,3928,health zone ro system private limited ooze plastic inlet for ro water purifiers,3.6,1066,169,300,appliances all appliances inlet
25679,4140,zebronics zeb-tulip wired in ear earphone with mic (black),3.4,1066,149,459,tv audio  cameras all electronics zeb
25681,9013,"proffisy aluminum laptop cooling pad with one big quiet cooling fan, laptop cooler stand with 7 height adjustable, noteboo...",4.1,1066,1766,5499,tv audio  cameras all electronics stand
25682,4007,amazonbasics 36 cm navy blue quilted underseat cabin softsided trolley,4.5,1066,2469,6495,accessories bags & luggage quilted
25685,16751,youbella jewellery traditional gold plated bracelet bangles set for girls and women,3.7,1066,275,999,accessories fashion & silver jewellery bangles
25688,8428,skullcandy riff wired on-ear headphone with mic (vice/gray/crimson),3.8,1066,6521,11300,tv audio  cameras headphones riff
25690,240,mototrance arc white bike/scooty cover - all two-wheelers upto pulsar/activa/apache | with storage bag | water resistant |...,3.5,1066,341,620,car  motorbike motorbike accessories & parts |
25691,1729,liberty men jme-17e sports shoes,3.9,1066,1019,1699,men's shoes sports shoes shoes
25693,120,"epyz solar sakura flower string lights, 19.5ft 30 led blossom flower string light solar power for outdoor garden,lawn,pati...",4.0,1066,854,1999,toys  baby products toys & games epyz
25695,5871,"proffisy 303 toner for canon 303 crg 303 toner cartridge for canon lbp 2900, lbp 2900b,lbp 3000 (1 pcs)",4.3,1065,759,1899,tv audio  cameras all electronics lbp
25696,2235,"wow skin science retinol face cream - oil free, quick absorbing - for all skin types - no parabens, silicones, color, mine...",3.9,1065,334,599,stores amazon fashion absorbing
25697,123,"swiss beauty waterproof liquid black eyeliner | smudge proof, transfer proof eye liner for eye makeup |black, 4ml |",4.0,1065,137,179,beauty  health beauty & grooming |
25700,957,"salt & pepper grinder set of 2 - refillable mills & shakers - premium gift box pack - for pink himalayan & sea salt, black...",4.4,1065,414,999,home  kitchen kitchen & dining set
25702,14769,ewools women's wool v-neck sweater,3.7,1065,498,1595,women's clothing western wear ewools
25703,1148,"realme c35 (glowing green, 4gb ram, 64gb storage)",3.9,1064,11589,13999,tv audio  cameras all electronics glowing
25704,118,nongi 200 plastic badminton shuttlecock pack of 5,3.6,1064,179,250,"sports  fitness all sports, fitness & outdoors pack"
25705,320,"gotrippin polyester packing cubes travel organizer for men and women, 5 pc luggage bags set (1 large, 2 medium and 1 small...",4.5,1064,1299,1599,accessories bags & luggage gotrippin
25708,3095,johny kingdom women's slim fit joggers | women's slim fit track pant | (pack of 2),3.4,1064,599,999,women's clothing clothing joggers
25709,120,yellow chimes nose pin for women and girls | traditional silver oxidised nose pin without piercing | german silver nose pi...,4.0,1064,199,1125,accessories fashion & silver jewellery pin
25710,1667,nokia wh-108 in-ear wired headset with mic,3.8,1064,280,299,tv audio  cameras headphones nokia
25712,1846,sonata analog white dial men's watch nm7987ym05w/nn7987ym05w/np7987ym05w,4.2,1064,849,999,stores men fashion np7987ym05w
25717,4398,"ibell sek105 highly polished stainless steel electric kettle with removable lid, 0.5 ltrs, 950w(silver)",4.1,1063,906,1499,appliances all appliances sek105
25719,12,"purepet clumping lavender fragrance cat litter (for multiple cats), 5kg",3.6,1063,281,320,pet supplies all pet supplies litter
25720,1677,"van heusen women hipster panty - cotton spandex - pack of 2 - anti bacterial, quick dry, full coverage, tagless comfort",4.2,1063,389,469,women's clothing clothing hipster
25721,6011,style quotient women blue striped top,3.9,1063,498,1399,women's clothing clothing striped
25722,7948,himalay fashion women's cotton lycra jacquard knitted half sleeve stretchable blouse.,3.7,1063,306,799,women's clothing ethnic wear himalay
25723,573,"bikri kendra - hexagon 13 golden mirror stickers for wall, hexagon mirror wall stickers, acrylic mirror wall decor sticke...",3.8,1063,224,1199,home  kitchen furniture sticke
25725,7,"ikall ik-401 60w bluetooth home theatre system with fm/aux/usb support and remote control (black, 4.1 channel)",3.2,1063,1999,2999,tv audio  cameras home audio & theater 60w
25729,5060,semi rimless polarized sunglasses for mens clubmaster sunglasses womens:uv400 protection,4.5,1063,399,1499,stores men fashion sunglasses
25733,5964,"lithara pvc front load fully automatic washing machine cover for 7 kg, 7.2 kg, 7.5 kg, 8 kg | size : 58.4 x 58.4 x 88.9 cm...",4.1,1062,499,1199,appliances all appliances lithara
25734,9043,mungyo bold point paint marker (white),3.6,1062,170,182,tv audio  cameras all electronics marker
25735,644,american tourister ivy spinner polypropylene (pp) 68 cm medium red check-in hard luggage with tsa lock check-in,4.2,1062,3399,7900,accessories bags & luggage polypropylene
25737,8603,adisa women's handbag with sling bag (set of 2),3.9,1062,595,2399,accessories bags & luggage handbag
25742,287,"joovy foocot child cot, pink",4.6,1062,14518,20739,toys  baby products strollers & prams cot
25743,1764,usha janome automatic stitch magic sewing machine with 57 stitch function(white and blue) with free sewing kit worth rs 500,4.0,1061,18499,25500,appliances all appliances stitch
25744,6631,hul pureit pureit microfibre mesh - big,4.1,1061,399,599,appliances all appliances big
25746,9373,airtel digitaltv dth remote with recording option suitable for all models airtel set of boxes and 2 batteries,3.7,1061,170,299,tv audio  cameras all electronics batteries
25747,3551,"samsung pro endurance 128gb microsdxc memory card with adapter for dash cam, body cam, and security camera – class 10, u3,...",4.7,1061,5953,9953,tv audio  cameras camera accessories card
25749,8727,reebok classics unisex-adult cl lthr sneaker,3.9,1061,3324,6999,men's shoes casual shoes classics
25750,3616,clarks tilden walk dark tan lea,4.4,1061,2749,4999,men's shoes formal shoes walk
25758,981,"supcares edge to edge tempered glass for samsung galaxy m33 5g, galaxy m13, galaxy m13 5g, galaxy m23 5g, galaxy a23, and ...",4.3,1060,289,799,tv audio  cameras all electronics edge
25759,3417,hynix hmt451s6afr8a-pb 4gb pc3-12800 ddr3-1600mhz non-ecc unbuffered cl11 204-pin sodimm 1.35v low voltage single rank mem...,4.1,1060,550,1120,tv audio  cameras all electronics hynix
25760,4119,telesin battery charger 3-channel usb battery quick charger with type-c cord for gopro hero 10/9 black (only charger - black),4.4,1060,1575,2999,tv audio  cameras all electronics charger
25761,169,cinefx cinefxtactical flashlight + desk lamp with gift box focus zoom torch light with 3 modes adjustable for emergency an...,3.9,1060,199,999,home  kitchen all home & kitchen lamp
25764,4804,canon lp-e12 battery pack,4.7,1060,4000,5499,tv audio  cameras camera accessories pack
25767,3568,nainvish crepe stitched kurti with sharara set for women,4.0,1060,579,2399,women's clothing clothing stitched
25777,3934,doubledicestore screen guard compatible for ather 450x/450 plus ev scooter (transparent),4.0,1059,251,1299,tv audio  cameras all electronics transparent
25779,4978,yellowfin quick release universal adjustable car mobile phone holder for dashboard | windshield with long telescopic arm 3...,4.5,1059,649,1600,tv audio  cameras all electronics release
25780,7603,amazonbasics dual-arm full-motion tv mount - 81.28-cm to 165.1-cm,4.6,1059,3949,6999,tv audio  cameras all electronics amazonbasics
25782,75,"harissons jake gym bag, 31 l duffel bag with shoe compartment - navy red, unisex, polyester | 3 in 1 multi-purpose duffle ...",4.2,1059,1550,1649,sports  fitness all exercise & fitness bag
25783,811,dclub memory foam cervical contour medical pillow for sleeping orthopedic pillows for neck back pain relief.,3.5,1059,549,1800,home  kitchen all home & kitchen pillow
25787,46,extra care diapers for babies xxl (50 count),3.4,1059,685,799,toys  baby products diapers diapers
25788,784,"mansiyaorange traditional black beads long one gram gold, copper & alloy multi mangalsutra/tanmaniya vati/nallapussalu for...",3.7,1059,267,999,accessories fashion & silver jewellery mansiyaorange
25791,477,"microfiber duster with extension pole,washable bendable head ceiling fan duster,15-100 inch wet or dry dust collect telesc...",4.3,1059,300,999,home  kitchen home improvement collect
25793,6164,"enflamo soft tpu 3d relief flower printed phone case back cover for iphone 11 (white, mix lilies)",4.0,1058,299,999,tv audio  cameras all electronics printed
25794,63,"little hub new born unisex baby 6pcs gift set (pink, 0-3 months)",4.1,1058,328,599,kids' fashion baby fashion baby
25795,481,kmjsa rc03 pro remote shutter release bluetooth camera control for ios and android smartphone tablet (black),4.2,1058,199,699,tv audio  cameras camera accessories release
25797,760,sidhidata women's kanjivaram saree with blouse piece,3.9,1058,599,2999,women's clothing clothing saree
25799,10095,bienvenu hot boho silver coin anklet bracelet bohemian tassel barefoot sandals chain jewelry,4.4,1058,599,999,accessories fashion & silver jewellery tassel
25800,8653,kingsin couples bracelets vows of eternal love adjustable jewelry gifts set for lover boyfriend girlfriend husband wife,4.6,1058,650,1299,accessories jewellery vows
25801,126,benkils girls casual dress,3.8,1058,629,1680,kids' fashion kids' clothing dress
25802,15519,evolove women's hosiery half sleeves round neck night suit set/top pyjama set super soft comfortable,3.7,1058,699,799,women's clothing lingerie & nightwear set
25806,7784,"apple 2022 ipad air m1 chip (10.9-inch/27.69 cm, wi-fi, 64gb) - purple (5th generation)",4.7,1057,54890,59900,tv audio  cameras all electronics chip
25808,938,blue tree 10 ltrs ( cms)backpack(bluetree_backpacks_034_multi colour),4.0,1057,288,599,accessories bags & luggage ltrs
25809,1407,wotofy stainless steel convenient seed remover pineapple eye peeler (1 piece),3.7,1057,149,399,beauty  health beauty & grooming peeler
25810,721,yashika women's cotton silk saree with blouse piece,3.6,1057,269,2999,women's clothing clothing saree
25812,311,"duroflex flexi - double sided useage multi-purpose travel friendly, outdoor camping, lightweight, single size soft foam sl...",4.3,1057,2367,2785,home  kitchen furniture camping
25814,4821,diverse men boxer shorts,3.8,1057,389,999,men's clothing innerwear shorts
25815,549,"femora borosilicate glass microwave safe multipurpose casseroles, 700 ml,1000 ml, 1550 ml, set of 3",4.5,1057,1698,2075,home  kitchen kitchen & dining microwave
25816,432,"pigeon breast pads honeycomb, 60 pieces",4.2,1057,670,675,toys  baby products nursing & feeding honeycomb
25817,4458,red tape men's walking shoes,3.9,1057,1575,5999,men's shoes sports shoes shoes
25818,777,nikavi luxury microfiber leather auto car steering wheel cover universal 15 inch (beige),4.1,1056,850,999,car  motorbike all car & motorbike products cover
25820,274,"satyam kraft 1 pcs women decorative stretchy belt stylish design ladies womens waist belts kanduro-belt for girls, saree, ...",4.2,1056,287,1200,women's clothing clothing kraft
25821,1169,plumbury women's nylon lightly padded wired seamless push-up bra,3.8,1056,399,1299,women's clothing clothing padded
25823,970,"antier plastic planter tray, multicolour, 8 inch, set of 15",3.7,1056,349,899,home  kitchen garden & outdoors tray
25828,16691,"trase boys' running shoes |easy to wear | slip ons | ideal for parks, outdoor, walking & all day casual wear |",4.0,1056,649,1199,stores men fashion wear
25832,7408,"ionix brass inlet valve for ro water purifier with brass nipple, connects to 1/4 pipe, complete set, silver",3.7,1055,195,399,appliances all appliances connects
25833,31,herbalife nutrition natural tulsi afresh energy drink mix,4.0,1055,584,848,grocery  gourmet foods all grocery & gourmet foods mix
25835,2675,siril women's printed georgette saree with unstitched blouse piece,3.5,1055,279,1429,women's clothing clothing siril
25837,401,"beaba sydney ii - baby changing nursery, multifunctional tote diaper bag with isothermal lunch pouch and trolley attachmen...",4.7,1055,7819,8499,toys  baby products diapers nursery
25841,3406,bata mens terrance cushion slipper,3.9,1055,620,899,stores men fashion slipper
25842,2956,ahuja aud-98xlr unidirectional dynamic microphone -corded mic,4.2,1054,1400,1680,tv audio  cameras all electronics ahuja
25843,1196,keydus® gas cylinder trolley with wheels | gas trolly | lpg cylinder stand (blue),4.0,1054,223,499,home  kitchen all home & kitchen lpg
25845,14267,nitsha velvet?neck travel pillow multipurpose dark gary color,3.9,1054,249,999,accessories bags & luggage color
25847,32,gosriki women saree,3.6,1054,289,2599,women's clothing clothing saree
25848,5416,arayna women's rayon printed kurta palazzo set,3.8,1054,599,1999,women's clothing clothing printed
25850,67,"luminous plastic solar charge controller 10amp - blue, as03",3.7,1054,439,1195,home  kitchen garden & outdoors blue
25852,11000,trylo women's non-wired bra,4.1,1054,450,849,women's clothing lingerie & nightwear bra
25854,3946,proelite smart trifold flip case cover for samsung galaxy tab s8 plus/s7 plus/s7 fe 12.4 inch [sm-x800/x806/t970/t975/t97...,4.2,1053,649,1999,tv audio  cameras all electronics cover
25856,1408,titan brown leather men's wallet (tw162lm1br),4.3,1053,1160,1549,stores amazon fashion wallet
25858,12279,"divulge drawstring polyester multi utility bag for sports, gym (orange)",4.0,1053,207,499,accessories bags & luggage divulge
25859,49,"navchetan danedar tea, 1kg",3.7,1053,205,220,"grocery  gourmet foods coffee, tea & beverages tea"
25860,1499,zaveri pearls,3.9,1053,332,1663,accessories fashion & silver jewellery pearls
25868,735,"joyride three wheel kick scooter for boys and girls with adjustable height,storage basket , foot break (3 years-8 years)",4.1,1053,1919,4199,toys  baby products toys & games joyride
25870,282,"keycare silicone key cover for harrier, altroz, nexon, tigor bs6, safari, safari gold, punch smart key with keyring (kc08 ...",4.6,1052,315,799,car  motorbike all car & motorbike products punch
25871,3631,xtore air foldable invisible mobile phone tabletop stand | next gen design | comfortable viewing angle (black),3.7,1052,399,999,tv audio  cameras all electronics stand
25872,6322,"kanget usb c to 3.5mm headphone jack, hi-res dac type c to audio adapter cable compatible with pixel 2/2xl/3/3xl , oneplus...",3.5,1052,349,499,tv audio  cameras all electronics kanget
25873,1646,campus women's flip flop slipper,3.9,1052,474,499,stores amazon fashion slipper
25874,6688,"lunar's 35 l laptop office/school/travel/business backpack water proof - fits up to 15.6 inch laptop notebook, with rainco...",3.8,1052,849,1999,accessories bags & luggage fits
25875,2580,"amazon basics high-speed 4k hdmi cable with braided cord, 6 feet, red",4.5,1052,539,979,tv audio  cameras camera accessories basics
25879,38,shining diva fashion 18k rose gold plated latest fancy stylish copper zircon bali earrings for women and girls,4.1,1052,348,1999,accessories fashion & silver jewellery rose
25880,705,dr trust usa elegance personal digital electronic body weight machine for human body 180kg capacity weighing scale-514 qui...,4.3,1052,799,2000,beauty  health health & personal care machine
25882,178,damensch men modal printed brief,4.2,1052,891,990,men's clothing innerwear damensch
25884,103,ancy 100% kashmiri walnuts without shell (kernels)- akhrot dry fruit 250g,3.6,1052,281,500,grocery  gourmet foods snack foods walnuts
25888,180,campus men's milan running shoes,4.0,1051,765,1699,"sports  fitness all sports, fitness & outdoors shoes"
25889,1531,"nikon vfb10101 en-el10 rc battery for s200, 500, 510, 700",4.3,1051,1049,2100,tv audio  cameras camera accessories battery
25891,2818,dimpy garments blended women's dungaree dress with top,3.7,1051,399,1499,women's clothing clothing blended
25893,12239,irrot women's assorted pyjama pants cotton printed track pants/lounge wear/bottom (pack of 5),3.3,1051,890,1399,women's clothing clothing printed
25894,199,"deckup muvo 2-door engineered wood shoe rack (dark wenge, matte finish)",4.2,1051,4399,10000,home  kitchen furniture deckup
25897,8255,paragon slickers comfort trendy men's brown sandals,4.1,1051,319,399,stores men fashion comfort
25900,9886,unistar walking shoes; st-02-tanbrown,3.6,1051,649,699,men's shoes sports shoes shoes
25906,1543,harrods empty blue spray bottle | spray bottles | liquid | travel | fogging | sanitizer spray bottles | room spray | rango...,3.9,1050,238,399,appliances all appliances spray
25907,1655,hilton 3 kg single-tub washing machine with spin dryer portable single tub washer - the laundry alternative portable cloth...,3.8,1050,4989,5999,appliances all appliances machine
25908,3170,"bluefin top load washing machine cover suitable for ifb 6.5 kg, 7 kg, 7.5 kg, (60x60x90 cms)",4.2,1050,489,750,appliances all appliances bluefin
25909,7831,spring chef instant portable water heater geyser 1ltr. for cooling rack use home | restaurant | office | labs | saloon | w...,3.7,1050,1299,3500,appliances all appliances 1ltr
25911,418,usha baby girl's knee length dress,4.3,1050,699,999,kids' fashion baby fashion dress
25923,9076,"odistar desktop vacuum cleaner, mini table dust sweeper energy saving,high endurance up to 400 mins,360ã‚º rotatable desig...",4.3,1049,999,1999,appliances all appliances desig
25924,541,"upakarma ayurveda pure shilajit capsules 300 mg, 90 veg capsules- pack of 1",3.7,1049,449,949,grocery  gourmet foods all grocery & gourmet foods capsules
25925,1019,cee 18 women's cotton lightly-padded and non-wired maternity nursing bra|womens adjustable shoulder straps | post pregnanc...,4.0,1049,899,2599,toys  baby products baby products cee
25928,298,"moha: nail care cream for dryness (dry skin) 100 g | for cuticle care, nail growth & strength with goodness of almond oil...",4.1,1049,187,220,beauty  health beauty & grooming moha
25932,89,"cosco rio polyvinyl chloride football, size 3, (yellow)",3.8,1049,401,450,sports  fitness football football
25934,3062,"tribit headphones with mic, girls headphones wired over ear headsets with limited volume 85db/ 94db, 3.5mm jack compatible...",4.6,1049,1259,1999,tv audio  cameras headphones headphones
25940,513,dervin unisex adult round sunglasses (pack of 2),3.2,1049,279,2499,stores men fashion sunglasses
25941,7242,glassiano floral and leafy multi coloured waterproof & dustproof washing machine cover for lg t7567teelh fully automatic t...,4.0,1048,499,999,appliances all appliances waterproof
25942,1170,"bulfyss knitting crochet hook needle set, 52pcs ergonomic sewing knitting needle kit with 16pcs soft grip handles hooks 0....",4.3,1048,699,999,home  kitchen all home & kitchen handles
25943,941,"amazon brand – eono reusable tote bags, 100% organic cotton shopping/grocery bag, multi-purpose bag, sturdy canvas bag wit...",3.8,1048,189,399,accessories bags & luggage bags
25945,15631,"forestfish sports gym bag travel duffel bag with dry wet pocket & shoes compartment for women and men, grey, medium,large",4.4,1048,1299,1999,accessories bags & luggage compartment
25946,577,"fogg beautiful secret scent, eau de parfum, women’s perfume, long-lasting fresh & floral fragrance, 100ml",4.1,1048,325,650,beauty  health beauty & grooming fogg
25948,9355,rainbowimaging lt52 52 mm vented metal hood shade for leica leitz zeiss voigtlander nikon lens (black),4.6,1048,2140,3300,tv audio  cameras camera accessories rainbowimaging
25953,690,"nexx hott-2 740 ml, 90 w electric lunch box for office men, portable lunch warmer with removable stainless steel containe...",3.6,1048,899,1099,home  kitchen kitchen storage & containers ml
25955,17052,fallyn men's polyester regular fit track suit,4.2,1048,1799,2999,stores men fashion suit
25956,499,"sujata grinder steel jar, 1000 ml, (white)",4.3,1047,849,855,appliances all appliances jar
25957,1051,"kuber industries disney print round laundry bag/bin|water proof material & 3d disney minnie print|size 37 x 37 x 46 cm, ca...",3.9,1047,244,599,appliances all appliances print|size
25958,201,"del monte extra light olive oil, ideal for everyday indian cooking & deep frying, 5l",4.4,1047,3319,5600,grocery  gourmet foods all grocery & gourmet foods oil
25959,293,wekonnect; multicolor keyring & keychain with name tag labels,4.1,1047,140,999,stores amazon fashion wekonnect
25966,8822,anand sarees women's georgette saree with blouse piece (1164_1_multicoloured_one size_red),3.6,1047,282,1299,women's clothing clothing sarees
25973,273,prarthana camphor - 100 tablets,3.8,1047,100,200,beauty  health health & personal care prarthana
25974,422,"eagle digital weight machine for kitchen with 10 kg capacity, 1 g accuracy, tare function, kitchen weighing scale for sho...",3.5,1047,319,999,home  kitchen kitchen & dining eagle
25977,9560,"asian men's innova-01 sports running,walking & gym shoes for max cushion technology casual sneaker shoes for men's & boy's",3.7,1047,873,1999,stores men fashion running
25979,1731,"eagle digital weight machine for kitchen with 10 kg capacity, 1 g accuracy, tare function, kitchen weighing scale for sho...",3.5,1046,319,999,appliances all appliances eagle
25980,1908,prestige electric air fryer paf 6.0,4.1,1046,3399,5600,appliances all appliances paf
25981,2622,atomberg renesa+ 900mm bldc motor 5 star rated ceiling fans for home with remote control | upto 65% energy saving high spe...,4.3,1046,5040,5560,appliances all appliances fans
25982,6119,laprite aluminium tabletop headphone stand (black),4.4,1046,499,1500,tv audio  cameras all electronics stand
25983,421,"urbanleaf super soft microfiber hand towels, gym & workout towels (4 pieces, multi colors), 400 gsm",4.2,1046,429,699,home  kitchen all home & kitchen towels
25988,7291,"k&f concept 82mm variable neutral density nd8-nd2000 nd filter for camera lenses with multi-resistant coating, waterproof",4.5,1046,6990,9990,tv audio  cameras camera accessories concept
25991,94,yscrowd men's sneakers casual white shoes,3.1,1046,489,999,men's shoes casual shoes shoes
25995,2273,yellow chimes earrings for women and girls silver dangler earrings| silver toned long chain danglers earrings for women | ...,3.9,1046,199,995,accessories fashion & silver jewellery toned
25998,162,"kent touchless foaming soap dispenser, 12014,350 ml, 1.5 w, in-built infrared sensor | white",3.3,1046,1650,4950,home  kitchen home storage kent
26010,876,"whirlpool 245 l 3 star frost-free inverter double door refrigerator (neo df258 roy german steel (3s-n, german steel, 2022 ...",4.2,1045,23490,29450,appliances all appliances whirlpool
26011,8130,pc 2.1 a 2 usb wall socket charger power panel receptacle 5 outlet switch (white),3.9,1045,384,502,tv audio  cameras all electronics pc
26015,1190,"bismaadh wide, moisture wicking and non-slip exercise workout headband for men and women",3.6,1045,175,699,women's clothing clothing headband
26016,327,red chief leather without lace formal shoes for men rc3455,3.8,1045,2207,4199,men's shoes formal shoes leather
26019,656,"mar*41mec13 (martin 6 str, e clapton light (13-56))",4.6,1045,1412,3800,music musical instruments & professional audio mar*41mec13
26021,1317,wonderchef nutri-blend personal blender | portable blender | smoothie maker | one touch operation | 300 w powerful motor |...,4.1,1044,2129,3200,appliances all appliances |
26022,1855,thermos double stainless steel wall smart flask vacuum insulated water bottle with led temperature display | perfect for h...,3.0,1044,235,999,stores amazon fashion thermos
